time,event_type,vm_id,required_cpu,required_ram,host_id,host_cpu_util_after,host_ram_util_after,sla_violated_after,placement_latency_ms,decision_latency_ms,allocation_success,policy,vm_duration
29.640089152581318,placement,28,1,8,0,0.75,1.0,False,16.11,0.01,1,round_robin,8.73
29.69794160968986,placement,29,2,8,3,0.688,0.625,False,33.86,0.01,1,round_robin,15.74
30.313104474432635,placement,30,4,5,4,0.75,0.594,False,49.84,0.01,1,round_robin,12.66
32.5188018059838,placement,31,3,6,1,0.75,0.781,False,37.21,0.01,1,round_robin,17.65
32.93105535615161,placement,32,1,7,4,0.812,0.812,False,40.04,0.01,1,round_robin,31.3
33.120928040927396,placement,33,3,2,2,0.562,0.688,False,27.39,0.01,1,round_robin,64.82
33.21777287694153,placement,34,4,2,2,0.812,0.75,False,48.88,0.01,1,round_robin,173.37
35.06712759724342,placement,35,2,6,1,0.875,0.969,False,44.82,0.01,1,round_robin,8.86
35.07404937271334,placement,36,3,8,2,1.0,1.0,True,34.36,0.01,1,round_robin,67.6
36.60791925694715,placement,37,2,4,3,0.812,0.75,False,31.58,0.01,1,round_robin,52.23
38.45193741450154,placement,38,1,6,3,0.875,0.938,False,29.54,0.01,1,round_robin,3.08
39.006803255021836,placement,39,1,4,2,1.0,0.906,True,19.58,0.01,1,round_robin,4.93
41.492465219594614,placement,40,2,6,0,0.5,0.656,False,13.43,0.01,1,round_robin,39.05
41.99473872115874,placement,41,4,8,0,0.75,0.906,False,49.12,0.01,1,round_robin,2.63
42.460349159171685,placement,42,2,3,3,0.938,0.844,True,47.87,0.01,1,round_robin,15.73
44.09519388911886,placement,43,2,4,4,0.438,0.656,False,44.9,0.01,1,round_robin,40.6
46.82300877962076,placement,44,4,3,4,0.688,0.75,False,40.21,0.01,1,round_robin,25.56
46.982224271640135,placement,45,2,7,3,0.938,0.812,True,25.96,0.01,1,round_robin,49.97
48.770215212986216,placement,46,3,5,4,0.875,0.906,False,28.06,0.01,1,round_robin,32.96
50.612577671387925,placement,47,2,3,0,0.438,0.5,False,23.52,0.01,1,round_robin,27.23
51.53717621985951,placement,48,2,6,1,0.688,0.781,False,10.29,0.01,1,round_robin,22.31
51.569360937347156,placement,49,1,3,0,0.5,0.594,False,46.22,0.01,1,round_robin,4.57
51.609278038963474,placement,50,3,2,0,0.688,0.656,False,19.52,0.01,1,round_robin,40.47
52.08102392495735,placement,51,4,3,0,0.938,0.75,True,15.29,0.01,1,round_robin,28.42
55.057605837264816,placement,52,4,3,3,1.0,0.812,True,42.3,0.01,1,round_robin,11.47
55.71795830586816,placement,53,2,2,1,0.75,0.656,False,36.36,0.01,1,round_robin,56.35
56.0427147520149,placement,54,3,5,1,0.938,0.812,True,28.68,0.01,1,round_robin,3.2
56.47039013187372,placement,55,1,7,0,0.938,0.875,True,12.42,0.01,1,round_robin,7.03
59.7890777392245,placement,56,3,8,1,0.938,0.906,True,19.95,0.01,1,round_robin,66.04
61.043445477375165,placement,57,2,6,3,1.0,0.906,True,15.61,0.01,1,round_robin,82.06
63.07840665330086,placement,58,2,4,4,0.938,0.938,True,19.99,0.01,1,round_robin,8.26
65.86692340984531,placement,59,1,5,4,0.938,0.875,True,13.92,0.01,1,round_robin,31.0
67.92610877397478,placement,60,1,2,1,1.0,0.969,True,16.65,0.01,1,round_robin,90.57
68.40452216949767,placement,61,4,5,3,1.0,0.969,True,44.59,0.01,1,round_robin,4.66
68.7278806021719,placement,62,1,3,4,1.0,0.969,True,10.09,0.01,1,round_robin,22.28
70.85766776047058,rejection,63,4,4,-1,0.0,0.0,False,0.0,0.0,0,round_robin,78.85
70.86638827194764,rejection,64,3,5,-1,0.0,0.0,False,0.0,0.0,0,round_robin,28.6
71.54172992309599,rejection,65,4,3,-1,0.0,0.0,False,0.0,0.0,0,round_robin,10.05
71.70133041252804,placement,66,3,3,1,1.0,0.875,True,33.17,0.01,1,round_robin,16.48
75.28023181589198,placement,67,1,7,2,1.0,1.0,True,12.29,0.01,1,round_robin,15.62
76.19454782309217,placement,68,4,6,4,0.875,0.938,False,16.3,0.01,1,round_robin,48.56
76.75951594680087,placement,69,1,8,1,0.938,0.938,True,12.74,0.01,1,round_robin,142.71
80.86202827747762,placement,70,1,7,0,0.438,0.5,False,26.15,1.07,1,round_robin,11.6
81.72160237555742,placement,71,2,6,0,0.562,0.688,False,11.59,0.01,1,round_robin,14.32
82.14066447103377,placement,72,1,5,4,0.75,0.938,False,32.61,0.01,1,round_robin,1.5
83.31627955976201,placement,73,3,4,3,0.938,0.938,True,36.79,0.01,1,round_robin,27.94
83.3823434189875,placement,74,3,3,0,0.562,0.562,False,25.83,0.01,1,round_robin,13.07
86.36841960784918,placement,75,3,5,4,0.562,0.594,False,47.16,0.01,1,round_robin,10.95
86.56408318408101,placement,76,1,2,3,1.0,1.0,True,34.85,0.01,1,round_robin,26.89
91.86912941235009,placement,77,1,2,4,0.562,0.562,False,18.53,0.01,1,round_robin,11.09
93.2630731752217,placement,78,3,3,4,0.75,0.656,False,45.23,0.01,1,round_robin,57.36
93.60223964064146,placement,79,2,4,3,1.0,1.0,True,16.31,0.01,1,round_robin,52.11
94.17539313972183,placement,80,3,6,4,0.938,0.844,True,10.31,0.01,1,round_robin,40.02
95.43019042364388,placement,81,3,7,0,0.5,0.5,False,47.56,0.01,1,round_robin,30.7
95.5484768721584,placement,82,2,4,0,0.625,0.625,False,45.59,0.01,1,round_robin,72.15
96.03198973924265,placement,83,2,4,0,0.75,0.75,False,34.19,0.01,1,round_robin,8.26
96.08402693898557,placement,84,3,3,0,0.812,0.656,False,30.22,0.01,1,round_robin,35.75
97.49884160681975,placement,85,3,8,0,0.812,0.812,False,13.69,0.01,1,round_robin,0.67
98.39587983750661,placement,86,4,8,2,1.0,0.969,True,11.76,0.01,1,round_robin,10.27
99.69103526444123,placement,87,3,8,1,0.875,1.0,False,35.48,0.01,1,round_robin,7.66
